"Story","Title","Result","Date","Stability","Duration (s)"
"C08 f01 s001 get catalog list","C08-F01-S001-01 Test get category list","SUCCESS","2017-10-30T16:08:29.689Z","0.0","2.7"
"C08 f01 s002 get offering list","C08-F01-S002-01 Test get offering list belongs to catalog","SUCCESS","2017-10-30T16:47:30.494Z","0.0","29.39"
"C08 f01 s003 get offering detail","C08-F01-S003-01 Test get offering detail information","SUCCESS","2017-10-30T16:48:00.894Z","0.0","2.9"
"C08 f01 s004 get service list","C08-F01-S004-01 Test get service list belongs to catalog","SUCCESS","2017-10-30T16:48:03.888Z","0.0","1.8"
"C08 f01 s005 get featured offerings","C08-F01-S005-01 Test get featured offering belongs to catalog","SUCCESS","2017-10-30T16:48:05.795Z","0.0","3.29"
"C08 f01 s006 get catalog detail","C08-F01-S006-01 Test get category detail information","SUCCESS","2017-10-30T16:48:09.282Z","0.0","1.7"
"C08 f01 s008 get offering price","C08-F01-S008-01 Test get offering price","SUCCESS","2017-10-30T16:48:13.885Z","0.0","1.22"
"C08 f01 s009 get full category","C08-F01-S009-01 Test get full category structure","SUCCESS","2017-10-30T16:48:15.184Z","0.0","1.5"
"C08 f01 s010 add to cart","C08-F01-S010-01 Test add offering to cart","SUCCESS","2017-10-30T16:48:16.883Z","0.0","3.61"
"C08 f01 s011 update cart item quantity","C08-F01-S011-01 Test update item quantity in cart","SUCCESS","2017-10-30T16:48:20.584Z","0.0","3.82"
