"Story","Title","Result","Date","Stability","Duration (s)"
"C07 f02 s001 search with universal","C07-F02-S001-01 Search with Universal","SUCCESS","2017-11-01T04:51:04.808Z","0.0","24.0"
"C07 f02 s002 search with knowledge service support item","C07-F02-S002-01 Search with Articel/Service/Support","SUCCESS","2017-11-01T04:51:29.300Z","0.0","4.0"
"C07 f02 s003 search with history","C07-F02-S003-01 Search with History","SUCCESS","2017-11-01T04:51:33.305Z","0.0","1.4"
"C07 f02 s004 search with typeahead","C07-F02-S004-01 Search with Typeahead","SUCCESS","2017-11-01T04:51:34.710Z","0.0","0.61"
