"Story","Title","Result","Date","Stability","Duration (s)"
"C10 f01 s001 check k8s version","C10-F01-S001-01 check API version","SUCCESS","2017-10-22T16:15:15.757Z","0.0","0.2"
"C10 f01 s001 check k8s version","C10-F01-S001-02 check TLS version","SUCCESS","2017-10-22T16:15:15.958Z","0.0","0.09"
"C10 f02 s001 check svc status","C10-F02-S001-01 check one deploy Status auth and others","SUCCESS","2017-10-22T16:15:16.054Z","0.0","55.3"
"C10 f02 s002 check deploy controller status","C10-F02-S002-01 check deply controller pod status","FAILURE","2017-10-22T16:16:11.362Z","0.0","0.41"
"C10 f02 s003 check all pod status","C10-F02-S003-01 check all pod status","FAILURE","2017-10-22T16:16:11.856Z","0.0","0.8"
"C10 f03 s001 check configmap","C10-F03-S001-01 check configmap is created","SUCCESS","2017-10-22T16:16:12.752Z","0.0","2.37"
"C10 f03 s001 check configmap","C10-F03-S001-02 check configmap has detail value","SUCCESS","2017-10-22T16:16:15.127Z","0.0","17.89"
