"Story","Title","Result","Date","Stability","Duration (s)"
"C02 f01 s001 installer oracle","C02-F01-s001-01 Connect Oracle database in installer with default settings","SUCCESS","2017-10-22T15:05:19.666Z","0.0","22.09"
"C02 f02 s002 test connection db","C02-F02-S002-01 provider PG server for service with right info","SUCCESS","2017-10-22T15:07:40.284Z","0.0","4.84"
"C03 f01 s001 backup test","C03-F01-s001-01 post a backup","SUCCESS","2017-10-22T16:20:42.265Z","0.0","0.15"
"C03 f01 s001 backup test","C03-F01-s001-02 get backup status","SUCCESS","2017-10-22T16:20:42.411Z","0.0","3.97"
"C03 f01 s001 backup test","C03-F01-s001-03 post a backup secondly","SUCCESS","2017-10-22T16:20:46.383Z","0.0","0.09"
"C03 f01 s001 backup test","C03-F01-s001-04 get backup status until Suceesful","SUCCESS","2017-10-22T16:20:46.471Z","0.0","53.9"
"C06 f01 s001 check integrationpoint status","C06-F01-S001-01 Check SM integration ponit status","SUCCESS","2017-10-22T16:20:27.153Z","0.0","7.98"
"C08 f01 s001 get catalog list","C08-F01-S001-01 Test get category list","FAILURE","2017-10-22T16:14:12.156Z","0.0","7.89"
"C08 f01 s002 get offering list","C08-F01-S002-01 Test get offering list belongs to catalog","ERROR","2017-10-22T16:40:02.550Z","0.0","21.31"
"C08 f01 s003 get offering detail","C08-F01-S003-01 Test get offering detail information","ERROR","2017-10-22T16:40:25.654Z","0.0","1.01"
"C08 f01 s004 get service list","C08-F01-S004-01 Test get service list belongs to catalog","ERROR","2017-10-22T16:40:26.849Z","0.0","0.9"
"C08 f01 s005 get featured offerings","C08-F01-S005-01 Test get featured offering belongs to catalog","ERROR","2017-10-22T16:40:27.848Z","0.0","0.52"
"C08 f01 s006 get catalog detail","C08-F01-S006-01 Test get category detail information","ERROR","2017-10-22T16:40:28.545Z","0.0","0.81"
"C08 f01 s007 get article list","C08-F01-S007-01 Test get article","ERROR","2017-10-22T16:40:29.450Z","0.0","0.71"
"C08 f01 s008 get offering price","C08-F01-S008-01 Test get offering price","ERROR","2017-10-22T16:40:30.256Z","0.0","0.79"
"C08 f01 s009 get full category","C08-F01-S009-01 Test get full category structure","ERROR","2017-10-22T16:40:31.149Z","0.0","0.92"
"C08 f01 s010 add to cart","C08-F01-S010-01 Test add offering to cart","ERROR","2017-10-22T16:40:32.154Z","0.0","0.81"
"C08 f01 s011 update cart item quantity","C08-F01-S011-01 Test update item quantity in cart","ERROR","2017-10-22T16:40:32.975Z","0.0","0.89"
"C08 f02 s001 submit service request","C08-F02-S001-01 Test submit a order without form on service offering","ERROR","2017-10-22T16:40:34.049Z","0.0","0.71"
"C08 f02 s002 submit support request","C08-F02-S002-01 Test submit a generic support request","ERROR","2017-10-22T16:40:34.848Z","0.0","1.81"
"C08 f02 s003 submit cart order","C08-F02-S003-01 Test submit a cart order","ERROR","2017-10-22T16:40:36.745Z","0.0","0.42"
"C08 f03 s001 get chat status","C08-F03-S001-01 Test chat functionality is enabled","FAILURE","2017-10-22T16:14:28.254Z","0.0","0.6"
"C08 f04 s001 auto suggested search","C08-F04-S001-01 Test auto suggested search only article and news","FAILURE","2017-10-22T16:14:28.948Z","0.0","0.61"
"C08 f04 s001 auto suggested search","C08-F04-S001-02 Test auto suggested search only service offering","FAILURE","2017-10-22T16:14:29.563Z","0.0","0.45"
"C08 f04 s001 auto suggested search","C08-F04-S001-03 Test auto suggested search only support offering","FAILURE","2017-10-22T16:14:30.020Z","0.0","0.39"
"C08 f04 s002 search","C08-F04-S002-01 Test search","FAILURE","2017-10-22T16:14:30.451Z","0.0","0.39"
"C08 f04 s003 search view article","C08-F04-S003-01 Test view article in search result","FAILURE","2017-10-22T16:14:30.851Z","0.0","0.37"
"C02 f02 s003 get service status","c02-F02-S003-01-get services' status","SUCCESS","2017-10-22T15:07:45.147Z","0.0","3.5"
"C02 f02 s004 get pod status","c02-F02-S004-01-get pod's status","SUCCESS","2017-10-22T15:07:48.660Z","0.0","1.0"
"C02 f02 s005 send manifest","c02-F02-S005-01-The service send manifest content to itsma deploy-controller","SUCCESS","2017-10-22T15:07:51.873Z","0.0","3.99"
"C02 f02 s005 create kube resources","c02-F02-S005-01-create kube resources for service itom-smartanalytics","SUCCESS","2017-10-22T15:07:49.778Z","0.0","2.04"
"C02 f02 s006 get install status","c02-F02-S006-01-get installation status by GET /itsma/install","SUCCESS","2017-10-22T15:07:55.861Z","0.0","0.69"
"C02 f02 s006 get install status","c02-F02-S006-02-get cetain services' installation status by GET /itsma/itsma_services/{itsmaServiceName}","SUCCESS","2017-10-22T15:07:56.558Z","0.0","1.1"
